layer_type,layer,rank,effective_rank,relative_norm,sparsity,energy_ratio_r1,energy_ratio_r2,energy_ratio_r3,energy_ratio_r4,energy_ratio_r5,energy_ratio_r6,energy_ratio_r7,energy_ratio_r8
attn.c_attn,L0,1,1.0,0.0758,0.0484,1.0,1.0,1.0,1.0,,,,
attn.c_attn,L0,2,2.0,0.053,0.0265,0.7893,1.0,1.0,1.0,,,,
attn.c_attn,L0,4,4.0,0.0313,0.0223,0.7213,0.9052,0.9772,1.0,,,,
attn.c_attn,L0,8,8.0,0.0269,0.0214,0.7028,0.8781,0.9358,0.9611,0.9781,0.9869,0.994,1.0
attn.c_attn,L11,1,1.0,0.0973,0.0497,1.0,1.0,1.0,1.0,,,,
attn.c_attn,L11,2,2.0,0.0844,0.023,0.8128,1.0,1.0,1.0,,,,
attn.c_attn,L11,4,4.0,0.0637,0.0198,0.7777,0.9035,0.9719,1.0,,,,
attn.c_attn,L11,8,8.0,0.0516,0.0187,0.7241,0.8373,0.8964,0.9481,0.9737,0.9851,0.9951,1.0
attn.c_attn,L23,1,1.0,0.1193,0.0478,1.0,1.0,1.0,1.0,,,,
attn.c_attn,L23,2,2.0,0.0951,0.0242,0.9053,1.0,1.0,1.0,,,,
attn.c_attn,L23,4,4.0,0.0759,0.023,0.9132,0.9692,0.9917,1.0,,,,
attn.c_attn,L23,8,6.0,0.0676,0.0196,0.8941,0.9434,0.9728,0.9858,0.9931,0.9968,0.9989,1.0
attn.c_proj,L0,1,1.0,0.1481,0.0322,1.0,1.0,1.0,1.0,,,,
attn.c_proj,L0,2,2.0,0.139,0.0116,0.6077,1.0,1.0,1.0,,,,
attn.c_proj,L0,4,4.0,0.0908,0.0166,0.8225,0.9492,0.9855,1.0,,,,
attn.c_proj,L0,8,6.0,0.0762,0.0136,0.7758,0.9249,0.9633,0.98,0.9897,0.9953,0.9982,1.0
attn.c_proj,L11,1,1.0,0.1146,0.0335,1.0,1.0,1.0,1.0,,,,
attn.c_proj,L11,2,2.0,0.0981,0.015,0.7115,1.0,1.0,1.0,,,,
attn.c_proj,L11,4,4.0,0.073,0.0122,0.518,0.879,0.9669,1.0,,,,
attn.c_proj,L11,8,7.6667,0.0575,0.0124,0.6252,0.8812,0.9543,0.9789,0.9892,0.9946,0.9977,1.0
attn.c_proj,L23,1,1.0,0.1164,0.1244,1.0,1.0,1.0,1.0,,,,
attn.c_proj,L23,2,2.0,0.0869,0.0613,0.8447,1.0,1.0,1.0,,,,
attn.c_proj,L23,4,3.3333,0.0588,0.064,0.9252,0.978,0.9951,1.0,,,,
attn.c_proj,L23,8,4.0,0.0512,0.0549,0.8647,0.9728,0.9898,0.9944,0.997,0.9985,0.9994,1.0
mlp.c_proj,L0,1,1.0,0.0587,0.0473,1.0,1.0,1.0,1.0,,,,
mlp.c_proj,L0,2,2.0,0.0463,0.0269,0.9103,1.0,1.0,1.0,,,,
mlp.c_proj,L0,4,4.0,0.027,0.0238,0.9233,0.9644,0.9897,1.0,,,,
mlp.c_proj,L0,8,4.6667,0.0244,0.0307,0.9407,0.9638,0.9772,0.9868,0.993,0.9965,0.9987,1.0
mlp.c_proj,L11,1,1.0,0.0878,0.0502,1.0,1.0,1.0,1.0,,,,
mlp.c_proj,L11,2,2.0,0.0626,0.0281,0.8152,1.0,1.0,1.0,,,,
mlp.c_proj,L11,4,4.0,0.0365,0.0281,0.8495,0.9261,0.9715,1.0,,,,
mlp.c_proj,L11,8,7.3333,0.0288,0.0339,0.8532,0.9172,0.9462,0.9669,0.9806,0.99,0.9974,1.0
mlp.c_proj,L23,1,1.0,0.1159,0.1406,1.0,1.0,1.0,1.0,,,,
mlp.c_proj,L23,2,2.0,0.0881,0.0877,0.8901,1.0,1.0,1.0,,,,
mlp.c_proj,L23,4,4.0,0.0573,0.0479,0.8565,0.9562,0.9841,1.0,,,,
mlp.c_proj,L23,8,3.3333,0.0501,0.0612,0.9124,0.9651,0.9875,0.9957,0.9982,0.9991,0.9997,1.0
